,candidate_name,candidate_party,link,seat_name,state
88,LANGFIELD Philip,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/farr/,Farrer,NSW
89,ELLIS Mark,Liberal Democrats,https://www.abc.net.au/news/elections/federal/2019/guide/farr/,Farrer,NSW
90,MILLS Brian,Independent,https://www.abc.net.au/news/elections/federal/2019/guide/farr/,Farrer,NSW
91,ROSE Michael Hunter,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/farr/,Farrer,NSW
92,MOSS Dean,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/farr/,Farrer,NSW
93,MOCANU Francesca,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/fowl/,Fowler,NSW
94,HAYES Chris,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/fowl/,Fowler,NSW
95,JABBOUR Joshua,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/fowl/,Fowler,NSW
96,LEE Seamus,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/fowl/,Fowler,NSW
97,BLEWITT Wayne,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/fowl/,Fowler,NSW
98,McCALLUM Carmel Mary,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/gilm/,Gilmore,NSW
99,SCHULTZ Grant,Independent,https://www.abc.net.au/news/elections/federal/2019/guide/gilm/,Gilmore,NSW
100,LESLIGHT Milton,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/gilm/,Gilmore,NSW
101,PHILLIPS Fiona,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/gilm/,Gilmore,NSW
102,KOLUKULAPALLY Serah,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/gilm/,Gilmore,NSW
103,HODGKINSON Katrina,The Nationals,https://www.abc.net.au/news/elections/federal/2019/guide/gilm/,Gilmore,NSW
104,MUNDINE Warren,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/gilm/,Gilmore,NSW
105,MORELLO Majella,Science Party,https://www.abc.net.au/news/elections/federal/2019/guide/gray/,Grayndler,NSW
106,HENDERSON Derek,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/gray/,Grayndler,NSW
