mntl_bh_p_me_2_rate_3_11_7_13, mntl_bh_f_me_3_rrmse_3_11_7_13, mntl_bh_p_me_3_rrmse_3_11_7_13, mntl_bh_p_me_1_no_3_11_7_13, area_code, mntl_bh_f_me_2_rate_3_11_7_13, mntl_bh_m_me_2_rate_3_11_7_13, mntl_bh_f_me_1_no_3_11_7_13, mntl_bh_m_me_1_no_3_11_7_13, mntl_bh_m_me_3_rrmse_3_11_7_13
16.2181841914114,3.0,3.0,911.4608439,405031121,18.3096056994974,14.3040199016043,503.2605935,408.2002504,3.0
17.5627818535696,3.0,3.0,2471.7633241,405031122,19.3214099641792,15.7791906083425,1364.048077,1107.7152471,3.0
13.0759675380749,3.0,3.0,3017.33727717044,117031332,13.9216751375599,12.3020800124844,1602.31922791267,1415.01804925777,3.0
12.4126842207351,3.0,3.0,3041.21401277216,206011105,14.5019515903195,10.0661813812775,1886.29772697237,1154.9162857998,3.0
14.1454056512625,3.0,3.0,2870.86164985422,117031333,14.8064136337047,13.8494400590819,1347.20395886685,1523.65769098736,3.0
14.5266502488033,3.0,3.0,482.574775334731,405031123,15.249470294031,13.9029843165496,242.823017735822,239.75175759891,3.0
11.6857961111706,3.0,3.0,342.0861696,604021090,14.3028170363829,9.17930660938938,201.5101607,140.5760089,3.0
15.5663746693457,3.0,3.0,3247.16924013199,117031334,15.4045758666686,15.8900511347062,1658.55408095771,1588.61515917428,3.0
12.4126842207351,3.0,3.0,1132.68955762784,206011106,14.5019515903195,10.0661813812775,702.545012927634,430.144544700202,3.0
13.4579075047886,3.0,3.0,2522.92454570295,117031335,15.5865859387983,11.6899202245864,1379.11499095735,1143.8095547456,3.0
11.5271500857748,3.0,3.0,853.5279943,208021180,13.8402746680011,9.08037808844849,525.2613833,328.266611,3.0
14.1559578948423,3.0,3.0,480.73891782165,509011232,15.0905502323148,13.2993144008411,249.441908383952,231.297009437698,3.0
13.4579075047886,3.0,3.0,3213.11406149705,117031338,15.5865859387983,11.6899202245864,1756.39567874265,1456.7183827544,3.0
12.6790826543582,3.0,3.0,2711.20070208964,119031368,13.9506416664463,11.3051447779614,1553.64417632161,1157.55652576803,3.0
14.0896984242142,3.0,3.0,2807.13247477078,118011339,14.6168714269819,13.5636725692643,1480.17773608088,1326.9547386899,3.0
12.6979474263195,3.0,3.0,2956.65625019019,119031369,12.7071658001396,12.6548620256468,1511.13375255552,1445.52249763466,3.0
13.9944774570486,3.0,3.0,591.283689389081,509021238,15.2949281444387,12.8963669245532,308.875124636204,282.408564752877,3.0
14.0896984242142,3.0,3.0,3032.61315482922,118011340,14.6168714269819,13.5636725692643,1599.07183371912,1433.5413211101,3.0
13.6332899333223,3.0,3.0,1120.87204153066,509021239,14.1505653268866,13.1844824956005,555.733713235729,565.138328294926,3.0
13.7956174978871,3.0,3.0,681.773219488814,509021240,14.6977754845311,13.0755296382406,340.416400946837,341.356818541977,3.0
13.243742376702,3.0,3.0,2226.83506628244,118011341,13.4562695817638,13.0486270591217,1194.68700982346,1032.14805645898,3.0
13.243742376702,3.0,3.0,0.0,118011342,13.4562695817638,13.0486270591217,0.0,0.0,3.0
13.0122169838173,3.0,3.0,3446.64573234311,118011343,13.1342506142412,12.8629145907234,1864.47727243195,1582.16845991116,3.0
13.0122169838173,3.0,3.0,2050.84783045689,118011345,13.1342506142412,12.8629145907234,1109.41462106805,941.433209388842,3.0
12.3339641080008,3.0,3.0,1527.38288323658,118011346,12.2383216548077,12.4276313977466,785.401924879151,741.980958357425,3.0
10.9552657667492,3.0,3.0,1297.0692227,213011339,14.0356703121164,7.94438576553599,819.1845848,477.8846379,3.0
13.243742376702,3.0,3.0,1009.20811681756,118011347,13.4562695817638,13.0486270591217,541.43562117654,467.772495641019,3.0
13.3841063219279,3.0,3.0,3487.1321186,118021348,13.1835194789091,13.5751100973491,1803.9247661,1683.2073525,3.0
12.6781353315652,3.0,3.0,1153.8680455,208021181,13.1971616764615,12.1526674823951,606.9307694,546.9372761,3.0
13.176903509655,3.0,3.0,3521.2255433,118021349,14.66389416218,11.8086970215129,1971.4502994,1549.7752439,3.0
12.8444223305669,3.0,3.0,2848.00764442596,118021350,13.5962250348662,12.0592399472487,1553.07103394573,1294.93661048023,3.0
13.7828970235606,3.0,3.0,1305.044277,206031115,16.500394147795,10.6262573497522,835.7179713,469.3263057,3.0
12.8444223305669,3.0,3.0,3992.55299307404,118021351,13.5962250348662,12.0592399472487,2177.21269715427,1815.34029591977,3.0
13.0201617410582,3.0,3.0,1660.5983736,213021341,13.5924861173771,12.5404997350012,876.0665718,784.5318018,3.0
11.8350423261961,3.0,3.0,2388.9384542,213021342,14.9854009187453,8.6248945807566,1527.3020219,861.6364323,3.0
13.9944774570486,3.0,3.0,676.543969964041,509021241,15.2949281444387,12.8963669245532,353.413440611599,323.130529352441,3.0
13.7566645148009,3.0,3.0,4023.6137693,118021352,13.3483762030777,14.180412712477,2080.1010927,1943.5126766,3.0
14.5084064943956,3.0,3.0,944.320350240694,206041118,15.5392163677397,13.7592420952048,500.489174640664,443.831175600029,3.0
13.7956174978871,3.0,3.0,466.617962845401,509021242,14.6977754845311,13.0755296382406,232.987161989255,233.630800856146,3.0
13.5497883815522,3.0,3.0,1443.05220353737,601041022,13.0987325974022,13.9624368152762,712.664901519134,730.387302018232,3.0
12.8579900412271,3.0,3.0,4027.8781421,119011353,15.6892773294443,9.90135428506655,2485.6183373,1542.2598048,3.0
13.1225909781469,3.0,3.0,707.414087598043,208031187,13.9426206882134,12.2052747485739,391.044840094515,316.369247503528,3.0
12.8415922412703,3.0,3.0,963.81923817655,601021005,12.2421428657318,13.3503931211856,446.250357930854,517.568880245696,3.0
12.7390993013323,3.0,3.0,2611.09528960342,119011354,15.7058005282056,9.73756928102334,1611.2857022458,999.809587357615,3.0
16.3279993971593,3.0,3.0,2284.4361056,201011008,19.1533795995581,13.2871938192416,1377.039767,907.3963386,3.0
12.6706890487331,3.0,3.0,0.38522277600943,119011355,15.3009915988994,10.0357532090812,0.231507184810595,0.153715591198835,3.0
12.6790826543582,3.0,3.0,1716.96820961036,119031370,13.9506416664463,11.3051447779614,983.902688478386,733.065521131974,3.0
12.7390993013323,3.0,3.0,1325.19265669658,119011356,15.7058005282056,9.73756928102334,817.765628454198,507.427028242385,3.0
12.5204818753375,3.0,3.0,1597.66246737452,119031371,12.2354650939919,12.8140714123125,800.188334936125,797.474132438398,3.0
12.6979474263195,3.0,3.0,2312.24830090981,119031372,12.7071658001396,12.6548620256468,1181.77973904448,1130.46856186534,3.0
12.3361987247343,3.0,3.0,724.328696986313,201021009,13.5791694572949,11.1305491987601,383.329602361538,340.999094624774,3.0
14.5357051091054,3.0,3.0,1108.9374071,201021010,16.8501616742521,12.2883222615294,634.4957843,474.4416228,3.0
14.1435793027396,3.0,3.0,1280.9087497,201021011,15.1680073969832,13.1400759232972,701.2931058,579.6156439,3.0
12.3361987247343,3.0,3.0,706.700362013687,201021012,13.5791694572949,11.1305491987601,374.000325938462,332.700036075226,3.0
14.9358912620681,3.0,3.0,518.798051566044,201031013,17.3162440849263,12.8733313397013,288.004814067912,230.793237498131,3.0
14.9358912620681,3.0,3.0,602.201553043963,201031014,17.3162440849263,12.8733313397013,334.305315512073,267.896237531891,3.0
12.0445603332079,3.0,3.0,517.1917968,201031015,16.3082961829996,8.36173988479353,327.7492728,189.442524,3.0
12.6706890487331,3.0,3.0,3121.84537678042,119011357,15.3009915988994,10.0357532090812,1876.13422570506,1245.71115107536,3.0
13.6186781002329,3.0,3.0,1246.27608730576,202011021,15.2040641979078,11.8916849450376,718.019087720066,528.256999585692,3.0
12.7332277035921,3.0,3.0,2073.9372575,119011358,13.0845625702188,12.3571496200388,1089.3358706,984.6013869,3.0
15.7068994484411,3.0,3.0,2907.6472856,202011022,18.4609056058017,12.734404171616,1772.895513,1134.7517726,3.0
12.2182884688764,3.0,3.0,3081.3685474,119011359,12.4080425313038,12.021011971044,1576.1675541,1505.2009933,3.0
9.38825089729501,3.0,3.0,415.7160573,202011023,11.9347934827122,7.09061301211448,249.9856436,165.7304137,3.0
10.88499579653,3.0,3.0,769.4408983,202011024,11.7688948484876,9.98986240121471,400.9522237,368.4886746,3.0
13.7373298480603,3.0,3.0,444.506547430917,601021006,13.7263098200687,13.7255351182416,233.498533735415,211.008013695502,3.0
13.7373298480603,3.0,3.0,1345.95241498959,601021007,13.7263098200687,13.7255351182416,707.026515569052,638.92589942054,3.0
11.4051446522775,3.0,3.0,1749.813863,119011360,13.5627229421483,9.18981798500763,1054.5171025,695.2967605,3.0
13.7373298480603,3.0,3.0,938.18540934822,601021008,13.7263098200687,13.7255351182416,492.827200681033,445.358208667187,3.0
12.6706890487331,3.0,3.0,2433.58068364357,119011361,15.3009915988994,10.0357532090812,1462.50805551013,971.072628133441,3.0
13.6342183488679,3.0,3.0,722.902062224663,206041119,14.2370162993383,13.0624892588194,403.567795999679,319.334266224984,3.0
13.0500030568257,3.0,3.0,491.5430665,601031013,13.3112593020842,12.8109346048928,246.2868511,245.2562154,3.0
12.4101664682639,3.0,3.0,2450.53941893281,119021362,14.7550811778474,10.0436729694697,1470.24728279538,980.292136137433,3.0
12.4101664682639,3.0,3.0,3529.84026946719,119021363,14.7550811778474,10.0436729694697,2117.79415780462,1412.04611166257,3.0
10.953495367508,3.0,3.0,2653.2644805,119021364,12.8051924088002,9.02383697376249,1587.9190528,1065.3454277,3.0
